"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/underground_dv-profile_image-36cd6cc091577d13-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","達哥 (underground_dv)","121368495","26025","8737","4663","162452","10105","4888074","true","false","Chinese (Hong Kong SAR)","達哥 (underground_dv)"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/87dbd056-f3d4-451f-ba06-bbe3208a801b-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","Loui5Ng","67481835","79530","3207","848","52911","9513","1587949","true","false","Chinese (Hong Kong SAR)","Loui5Ng"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/58ba2e14-68fb-4d8b-becf-78cc6e3b0e61-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","艾維院 (ankgaminghk)","67233960","202335","4101","331","18368","2212","11518140","true","true","Chinese (Hong Kong SAR)","艾維院 (ankgaminghk)"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/4e682958-0a2c-44c4-8777-bfe5d0dbe6c0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","肥捏 (nepg)","6468390","189555","157","33","5506","198","196803","false","true","Chinese (Hong Kong SAR)","肥捏 (nepg)"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/fb31f8a7-2732-4da6-8236-37c8671d4ae3-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","子如初見 (hkqjai)","6232455","96465","363","64","4863","1594","179860","true","true","Chinese (Hong Kong SAR)","子如初見 (hkqjai)"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/37d10665-ee2b-4c56-948a-c0aea929c248-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Kitspy2005","4715175","39585","278","118","10424","1172","122403","true","true","Chinese (Hong Kong SAR)","Kitspy2005"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/c941921f-217b-4785-aa30-c05b3f39d4b2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","毒叔 (diedoggod)","4628490","143940","221","31","6290","443","151561","true","false","Chinese (Hong Kong SAR)","毒叔 (diedoggod)"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/3e225796-f3fb-4bb8-9474-32ac3c830db9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","小幽寶寶 (ariachan_csn)","4133055","95895","133","42","6093","3545","157255","true","false","Chinese (Hong Kong SAR)","小幽寶寶 (ariachan_csn)"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/1a871b98-6de5-4f04-bf7d-d4f24ce095ba-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Sing20088","3993615","44385","1068","89","3533","672","162718","false","true","Chinese (Hong Kong SAR)","Sing20088"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/longlegmumu-profile_image-c522845f62a0f259-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","長腿木木 (longlegmumu)","3692895","21750","465","169","16474","826","125267","true","false","Chinese (Hong Kong SAR)","長腿木木 (longlegmumu)"
